縣市,鄉鎮市區,村里,所得平均數_萬元,所得中位數_萬元,目標年齡層佔比_百分比,附近核心商場/商圈,latitude,longitude
台中市,西屯區,第2里,135.8,110.2,30.4,台中市西屯區核心商圈,24.1076,120.638
彰化縣,溪州鄉,第2里,82.5,59.4,24.0,彰化縣溪州鄉核心商圈,24.1377,120.5692
南投縣,仁愛鄉,第2里,91.7,71.3,25.2,南投縣仁愛鄉核心商圈,23.8896,120.7191
雲林縣,林內鄉,第2里,92.3,70.3,24.7,雲林縣林內鄉核心商圈,23.7676,120.4622
嘉義市,東區,第2里,103.4,79.9,22.7,嘉義市東區核心商圈,23.4898,120.4286
嘉義縣,義竹鄉,第2里,117.7,86.4,27.8,嘉義縣義竹鄉核心商圈,23.4903,120.3577
台南市,善化區,第2里,137.2,109.6,25.5,台南市善化區核心商圈,22.9538,120.1446
高雄市,美濃區,第2里,120.7,84.8,28.3,高雄市美濃區核心商圈,22.6544,120.2937
屏東縣,鹽埔鄉,第2里,88.2,64.9,24.3,屏東縣鹽埔鄉核心商圈,22.7222,120.4052
宜蘭縣,礁溪鄉,第2里,87.5,68.0,23.4,宜蘭縣礁溪鄉核心商圈,24.7564,121.7568
花蓮縣,吉安鄉,第2里,85.9,63.3,22.7,花蓮縣吉安鄉核心商圈,23.9603,121.5745
台東縣,台東市,第2里,109.2,76.7,23.4,台東縣台東市核心商圈,22.7204,121.1629
澎湖縣,湖西鄉,第2里,115.0,84.4,26.6,澎湖縣湖西鄉核心商圈,23.5539,119.4883
金門縣,金沙鎮,第2里,106.3,80.8,27.0,金門縣金沙鎮核心商圈,24.4758,118.3936
連江縣,北竿鄉,第2里,99.4,72.3,27.8,連江縣北竿鄉核心商圈,26.1747,119.8848
台北市,中山區,第3里,227.8,175.1,28.6,台北市中山區核心商圈,24.9988,121.4873
新北市,林口區,第3里,149.5,108.0,33.4,新北市林口區核心商圈,24.9677,121.5327
基隆市,七堵區,第3里,89.0,67.2,24.6,基隆市七堵區核心商圈,25.0608,121.6839
桃園市,桃園區,第3里,159.9,118.8,32.5,桃園市桃園區核心商圈,25.0682,121.2753
新竹市,香山區,第3里,255.1,208.2,29.4,新竹市香山區核心商圈,24.7627,120.9301
新竹縣,新埔鎮,第3里,190.7,153.0,28.0,新竹縣新埔鎮核心商圈,24.8259,121.0811
苗栗縣,西湖鄉,第3里,91.4,71.1,28.4,苗栗縣西湖鄉核心商圈,24.517,120.8772
台中市,龍井區,第3里,182.4,138.3,27.2,台中市龍井區核心商圈,24.1991,120.6576
彰化縣,田中鎮,第3里,99.7,71.1,23.1,彰化縣田中鎮核心商圈,24.0264,120.4675
南投縣,國姓鄉,第3里,99.6,74.1,22.2,南投縣國姓鄉核心商圈,23.8316,120.6698
雲林縣,土庫鎮,第3里,96.8,71.0,22.8,雲林縣土庫鎮核心商圈,23.6456,120.4384
嘉義市,東區,第3里,104.6,77.6,22.9,嘉義市東區核心商圈,23.4058,120.4291
嘉義縣,水上鄉,第3里,92.7,68.7,26.6,嘉義縣水上鄉核心商圈,23.4267,120.2463
台南市,安定區,第3里,131.0,97.1,25.1,台南市安定區核心商圈,23.0165,120.23
高雄市,湖內區,第3里,156.5,124.6,29.6,高雄市湖內區核心商圈,22.7128,120.3683
屏東縣,滿州鄉,第3里,109.8,77.5,23.3,屏東縣滿州鄉核心商圈,22.6564,120.4827
宜蘭縣,蘇澳鎮,第3里,89.0,65.0,28.9,宜蘭縣蘇澳鎮核心商圈,24.7893,121.7476
花蓮縣,瑞穗鄉,第3里,94.3,66.1,28.3,花蓮縣瑞穗鄉核心商圈,23.9514,121.6099
台東縣,鹿野鄉,第3里,100.0,72.2,24.4,台東縣鹿野鄉核心商圈,22.7795,121.1843
澎湖縣,湖西鄉,第3里,95.5,69.7,23.0,澎湖縣湖西鄉核心商圈,23.6118,119.5796
金門縣,金湖鎮,第3里,87.1,67.6,22.2,金門縣金湖鎮核心商圈,24.3656,118.3069
連江縣,東引鄉,第3里,99.8,72.2,23.6,連江縣東引鄉核心商圈,26.17,119.8914
台北市,文山區,第4里,254.7,196.3,30.6,台北市文山區核心商圈,24.9659,121.632
新北市,新店區,第4里,133.4,99.2,28.6,新北市新店區核心商圈,24.9775,121.5036
基隆市,仁愛區,第4里,118.4,89.8,23.2,基隆市仁愛區核心商圈,25.0664,121.6949
桃園市,新屋區,第4里,181.8,138.9,33.7,桃園市新屋區核心商圈,24.9817,121.323
新竹市,北區,第4里,267.9,215.7,34.4,新竹市北區核心商圈,24.7206,120.9859
新竹縣,竹北市,第4里,133.3,104.6,26.4,新竹縣竹北市核心商圈,24.7451,120.995
苗栗縣,卓蘭鎮,第4里,91.2,68.6,26.8,苗栗縣卓蘭鎮核心商圈,24.5189,120.7486
台中市,北區,第4里,173.2,130.9,30.7,台中市北區核心商圈,24.085,120.6068
彰化縣,線西鄉,第4里,110.8,79.3,23.4,彰化縣線西鄉核心商圈,24.0158,120.5142
南投縣,鹿谷鄉,第4里,101.2,77.8,27.2,南投縣鹿谷鄉核心商圈,23.9816,120.6254
雲林縣,西螺鎮,第4里,105.2,75.8,27.7,雲林縣西螺鎮核心商圈,23.7436,120.4902
嘉義市,東區,第4里,101.7,78.6,23.5,嘉義市東區核心商圈,23.4693,120.3788
嘉義縣,阿里山鄉,第4里,96.1,73.3,28.4,嘉義縣阿里山鄉核心商圈,23.4835,120.2203
台南市,玉井區,第4里,127.3,98.8,29.0,台南市玉井區核心商圈,22.9844,120.2697
高雄市,鹽埕區,第4里,101.8,75.2,29.8,高雄市鹽埕區核心商圈,22.6797,120.3742
屏東縣,獅子鄉,第4里,119.3,86.3,23.2,屏東縣獅子鄉核心商圈,22.6264,120.5026
宜蘭縣,大同鄉,第4里,97.9,70.6,25.3,宜蘭縣大同鄉核心商圈,24.7997,121.805
花蓮縣,花蓮市,第4里,90.1,63.5,27.6,花蓮縣花蓮市核心商圈,23.8986,121.6365
台東縣,太麻里鄉,第4里,84.5,63.5,23.4,台東縣太麻里鄉核心商圈,22.7356,121.1227
澎湖縣,望安鄉,第4里,100.0,70.9,24.4,澎湖縣望安鄉核心商圈,23.5786,119.6225
金門縣,金城鎮,第4里,116.7,84.1,23.7,金門縣金城鎮核心商圈,24.4883,118.3858
連江縣,南竿鄉,第4里,83.0,64.2,23.0,連江縣南竿鄉核心商圈,26.1668,119.9144
台北市,松山區,第5里,234.4,190.2,32.0,台北市松山區核心商圈,25.0498,121.5193
新北市,蘆洲區,第5里,105.2,85.4,29.6,新北市蘆洲區核心商圈,25.0237,121.4986
基隆市,七堵區,第5里,103.8,75.1,25.1,基隆市七堵區核心商圈,25.0532,121.8026
桃園市,龜山區,第5里,168.3,130.1,29.9,桃園市龜山區核心商圈,24.9568,121.2663
新竹市,香山區,第5里,132.3,112.4,29.2,新竹市香山區核心商圈,24.7548,121.0149
新竹縣,新豐鄉,第5里,196.0,160.0,26.6,新竹縣新豐鄉核心商圈,24.8096,120.969
苗栗縣,頭份市,第5里,106.8,80.1,22.2,苗栗縣頭份市核心商圈,24.5481,120.8571
台中市,沙鹿區,第5里,134.2,108.7,31.3,台中市沙鹿區核心商圈,24.0838,120.6515
彰化縣,永靖鄉,第5里,93.4,68.6,28.8,彰化縣永靖鄉核心商圈,24.068,120.4665
南投縣,國姓鄉,第5里,84.3,61.2,22.4,南投縣國姓鄉核心商圈,23.8669,120.6307
雲林縣,元長鄉,第5里,86.0,66.5,22.2,雲林縣元長鄉核心商圈,23.6902,120.4563
嘉義市,東區,第5里,90.5,68.5,27.8,嘉義市東區核心商圈,23.3973,120.4142
嘉義縣,大林鎮,第5里,98.8,75.5,22.0,嘉義縣大林鎮核心商圈,23.397,120.3451
台南市,後壁區,第5里,110.5,88.1,30.9,台南市後壁區核心商圈,23.032,120.1826
高雄市,湖內區,第5里,102.7,72.0,27.2,高雄市湖內區核心商圈,22.6285,120.2625
屏東縣,萬丹鄉,第5里,91.3,66.8,26.3,屏東縣萬丹鄉核心商圈,22.6478,120.4384
宜蘭縣,大同鄉,第5里,106.8,81.1,23.9,宜蘭縣大同鄉核心商圈,24.7772,121.6934
花蓮縣,卓溪鄉,第5里,118.8,87.6,23.6,花蓮縣卓溪鄉核心商圈,23.9031,121.6378
台東縣,卑南鄉,第5里,89.0,68.9,25.2,台東縣卑南鄉核心商圈,22.7465,121.1868
澎湖縣,七美鄉,第5里,82.3,64.1,26.8,澎湖縣七美鄉核心商圈,23.6337,119.5569
金門縣,金城鎮,第5里,106.5,75.5,23.5,金門縣金城鎮核心商圈,24.3869,118.4358
連江縣,莒光鄉,第5里,83.6,62.5,27.1,連江縣莒光鄉核心商圈,26.1748,119.8956
台北市,中山區,第6里,282.3,234.3,31.1,台北市中山區核心商圈,25.0778,121.6253
新北市,新店區,第6里,162.2,127.8,26.8,新北市新店區核心商圈,25.0814,121.4923
基隆市,仁愛區,第6里,116.5,90.5,23.9,基隆市仁愛區核心商圈,25.0957,121.7508
桃園市,復興區,第6里,170.8,133.9,28.9,桃園市復興區核心商圈,25.0141,121.2851
新竹市,香山區,第6里,180.1,148.2,32.4,新竹市香山區核心商圈,24.7827,121.0858
新竹縣,竹北市,第6里,149.2,116.4,32.0,新竹縣竹北市核心商圈,24.8785,120.9806
苗栗縣,卓蘭鎮,第6里,92.9,67.4,24.5,苗栗縣卓蘭鎮核心商圈,24.5039,120.768
台中市,大肚區,第6里,141.0,105.2,33.7,台中市大肚區核心商圈,24.2349,120.6512
彰化縣,伸港鄉,第6里,106.1,80.7,26.3,彰化縣伸港鄉核心商圈,24.1139,120.5889
南投縣,竹山鎮,第6里,90.3,68.3,25.7,南投縣竹山鎮核心商圈,23.8837,120.7069
雲林縣,麥寮鄉,第6里,109.0,77.3,25.8,雲林縣麥寮鄉核心商圈,23.6932,120.3825
嘉義市,西區,第6里,93.8,72.9,28.9,嘉義市西區核心商圈,23.4169,120.364
嘉義縣,大林鎮,第6里,116.3,82.9,27.1,嘉義縣大林鎮核心商圈,23.3968,120.3096
台南市,北門區,第6里,177.6,131.0,28.8,台南市北門區核心商圈,22.9724,120.2149
高雄市,前鎮區,第6里,111.4,88.4,31.9,高雄市前鎮區核心商圈,22.5762,120.296
屏東縣,牡丹鄉,第6里,89.3,64.9,25.2,屏東縣牡丹鄉核心商圈,22.6674,120.444
宜蘭縣,冬山鄉,第6里,109.3,77.5,22.6,宜蘭縣冬山鄉核心商圈,24.7362,121.6988
花蓮縣,富里鄉,第6里,101.3,74.5,28.2,花蓮縣富里鄉核心商圈,24.0406,121.6782
台東縣,太麻里鄉,第6里,110.7,81.0,23.7,台東縣太麻里鄉核心商圈,22.7898,121.1889
澎湖縣,七美鄉,第6里,101.4,73.5,23.0,澎湖縣七美鄉核心商圈,23.5855,119.6233
金門縣,金湖鎮,第6里,86.9,64.8,28.8,金門縣金湖鎮核心商圈,24.3668,118.3239
連江縣,東引鄉,第6里,119.6,89.3,24.4,連江縣東引鄉核心商圈,26.2009,119.9035
台北市,信義區,第7里,144.9,122.4,32.8,台北市信義區核心商圈,24.962,121.5002
新北市,五股區,第7里,149.7,113.7,31.9,新北市五股區核心商圈,25.0691,121.3892
基隆市,中正區,第7里,108.1,80.7,27.7,基隆市中正區核心商圈,25.0676,121.7477
桃園市,蘆竹區,第7里,177.7,142.2,32.6,桃園市蘆竹區核心商圈,25.0164,121.3482
新竹市,香山區,第7里,219.7,169.4,31.9,新竹市香山區核心商圈,24.7645,120.9773
新竹縣,竹東鎮,第7里,184.2,142.3,29.0,新竹縣竹東鎮核心商圈,24.7605,120.9538
苗栗縣,苗栗市,第7里,96.7,69.3,27.5,苗栗縣苗栗市核心商圈,24.4959,120.7419
台中市,沙鹿區,第7里,194.5,143.6,26.2,台中市沙鹿區核心商圈,24.2384,120.7153
彰化縣,溪州鄉,第7里,95.1,73.3,27.1,彰化縣溪州鄉核心商圈,24.0552,120.488
南投縣,信義鄉,第7里,95.1,74.1,28.8,南投縣信義鄉核心商圈,23.8941,120.7221
雲林縣,元長鄉,第7里,101.5,72.8,26.7,雲林縣元長鄉核心商圈,23.6458,120.445
嘉義市,西區,第7里,85.0,62.8,22.4,嘉義市西區核心商圈,23.5035,120.4332
嘉義縣,朴子市,第7里,114.1,82.1,28.2,嘉義縣朴子市核心商圈,23.499,120.3418
台南市,安平區,第7里,106.2,77.8,25.7,台南市安平區核心商圈,22.9439,120.1381
高雄市,美濃區,第7里,116.8,85.4,27.2,高雄市美濃區核心商圈,22.73,120.2871
屏東縣,潮州鎮,第7里,93.3,70.1,27.5,屏東縣潮州鎮核心商圈,22.6044,120.5041
宜蘭縣,礁溪鄉,第7里,100.8,71.4,25.4,宜蘭縣礁溪鄉核心商圈,24.7704,121.7299
花蓮縣,秀林鄉,第7里,93.0,70.1,26.6,花蓮縣秀林鄉核心商圈,23.9424,121.5707
台東縣,台東市,第7里,92.9,66.1,28.0,台東縣台東市核心商圈,22.8279,121.1883
澎湖縣,七美鄉,第7里,119.5,88.3,23.1,澎湖縣七美鄉核心商圈,23.5733,119.5835
金門縣,金寧鄉,第7里,95.7,68.7,22.4,金門縣金寧鄉核心商圈,24.4502,118.3139
連江縣,莒光鄉,第7里,104.4,78.7,22.8,連江縣莒光鄉核心商圈,26.2284,119.8869
台北市,信義區,第8里,195.3,148.0,30.3,台北市信義區核心商圈,24.9962,121.5077
新北市,烏來區,第8里,168.3,131.7,28.9,新北市烏來區核心商圈,24.9581,121.5013
基隆市,仁愛區,第8里,94.1,72.4,24.1,基隆市仁愛區核心商圈,25.1021,121.8183
桃園市,楊梅區,第8里,179.6,146.2,31.2,桃園市楊梅區核心商圈,25.0343,121.3008
新竹市,東區,第8里,247.4,204.8,33.7,新竹市東區核心商圈,24.8279,121.0699
新竹縣,湖口鄉,第8里,191.0,141.8,31.5,新竹縣湖口鄉核心商圈,24.7715,121.027
苗栗縣,三灣鄉,第8里,89.8,65.5,27.1,苗栗縣三灣鄉核心商圈,24.5945,120.8629
台中市,南屯區,第8里,133.9,99.9,33.5,台中市南屯區核心商圈,24.115,120.695
彰化縣,永靖鄉,第8里,113.5,87.4,23.3,彰化縣永靖鄉核心商圈,24.0896,120.4635
南投縣,仁愛鄉,第8里,104.6,77.8,27.2,南投縣仁愛鄉核心商圈,23.9149,120.7527
雲林縣,臺西鄉,第8里,95.4,74.2,25.5,雲林縣臺西鄉核心商圈,23.6729,120.4893
嘉義市,西區,第8里,99.8,75.0,27.1,嘉義市西區核心商圈,23.4847,120.3768
嘉義縣,梅山鄉,第8里,106.6,79.8,25.5,嘉義縣梅山鄉核心商圈,23.4467,120.3003
台南市,楠西區,第8里,113.4,80.0,29.2,台南市楠西區核心商圈,22.9817,120.2265
高雄市,茄萣區,第8里,101.7,75.9,29.2,高雄市茄萣區核心商圈,22.7097,120.359
屏東縣,春日鄉,第8里,114.2,86.2,26.1,屏東縣春日鄉核心商圈,22.6255,120.496
宜蘭縣,宜蘭市,第8里,85.2,60.7,26.0,宜蘭縣宜蘭市核心商圈,24.793,121.7832
花蓮縣,花蓮市,第8里,102.6,74.5,25.1,花蓮縣花蓮市核心商圈,23.9399,121.5711
台東縣,池上鄉,第8里,113.4,84.7,22.9,台東縣池上鄉核心商圈,22.8256,121.0709
澎湖縣,七美鄉,第8里,93.2,69.2,26.1,澎湖縣七美鄉核心商圈,23.5914,119.5449
金門縣,金寧鄉,第8里,97.9,70.1,24.2,金門縣金寧鄉核心商圈,24.4641,118.4317
連江縣,莒光鄉,第8里,89.0,67.0,27.8,連江縣莒光鄉核心商圈,26.1891,119.9322
台北市,信義區,第9里,260.2,206.8,30.6,台北市信義區核心商圈,25.0654,121.5255
新北市,中和區,第9里,145.3,113.0,30.2,新北市中和區核心商圈,24.9335,121.5074
基隆市,仁愛區,第9里,90.9,65.8,25.6,基隆市仁愛區核心商圈,25.1041,121.8156
桃園市,八德區,第9里,190.9,148.2,32.9,桃園市八德區核心商圈,24.942,121.2873
新竹市,北區,第9里,269.4,223.0,34.0,新竹市北區核心商圈,24.7548,121.0521
新竹縣,關西鎮,第9里,172.3,128.3,29.3,新竹縣關西鎮核心商圈,24.8197,120.9907
苗栗縣,三灣鄉,第9里,96.0,69.9,23.8,苗栗縣三灣鄉核心商圈,24.6046,120.829
台中市,新社區,第9里,176.7,144.1,28.2,台中市新社區核心商圈,24.1388,120.5708
彰化縣,埔心鄉,第9里,103.8,72.7,28.8,彰化縣埔心鄉核心商圈,24.0795,120.5187
南投縣,草屯鎮,第9里,108.6,78.5,28.0,南投縣草屯鎮核心商圈,23.9349,120.6314
雲林縣,口湖鄉,第9里,91.9,65.1,25.9,雲林縣口湖鄉核心商圈,23.6333,120.4991
嘉義市,西區,第9里,90.0,65.7,25.5,嘉義市西區核心商圈,23.4845,120.3679
嘉義縣,義竹鄉,第9里,112.6,86.4,28.9,嘉義縣義竹鄉核心商圈,23.5295,120.3258
台南市,安定區,第9里,164.3,125.8,28.4,台南市安定區核心商圈,22.9206,120.2588
高雄市,仁武區,第9里,146.3,105.3,31.3,高雄市仁武區核心商圈,22.6042,120.2666
屏東縣,萬丹鄉,第9里,99.8,77.3,23.2,屏東縣萬丹鄉核心商圈,22.6896,120.5431
宜蘭縣,大同鄉,第9里,96.1,68.0,23.5,宜蘭縣大同鄉核心商圈,24.6865,121.7695
花蓮縣,光復鄉,第9里,82.4,62.1,25.8,花蓮縣光復鄉核心商圈,23.902,121.6253
台東縣,台東市,第9里,86.1,67.0,22.5,台東縣台東市核心商圈,22.708,121.1169
澎湖縣,馬公市,第9里,95.5,68.9,22.7,澎湖縣馬公市核心商圈,23.5787,119.533
金門縣,金寧鄉,第9里,115.2,81.1,23.2,金門縣金寧鄉核心商圈,24.5124,118.4428
連江縣,南竿鄉,第9里,118.6,89.1,23.0,連江縣南竿鄉核心商圈,26.1787,119.9095
台北市,北投區,第10里,214.2,164.5,29.2,台北市北投區核心商圈,25.0666,121.6131
新北市,石碇區,第10里,178.7,139.2,28.2,新北市石碇區核心商圈,25.0375,121.4245
基隆市,七堵區,第10里,97.7,71.7,28.6,基隆市七堵區核心商圈,25.0857,121.8118
桃園市,觀音區,第10里,199.4,163.4,32.0,桃園市觀音區核心商圈,24.9198,121.2451
新竹市,北區,第10里,151.4,120.9,31.2,新竹市北區核心商圈,24.8348,120.9749
新竹縣,芎林鄉,第10里,123.4,91.0,31.0,新竹縣芎林鄉核心商圈,24.761,121.026
苗栗縣,通霄鎮,第10里,107.0,75.3,25.1,苗栗縣通霄鎮核心商圈,24.5869,120.8679
台中市,沙鹿區,第10里,110.1,79.3,28.9,台中市沙鹿區核心商圈,24.0968,120.718
彰化縣,鹿港鎮,第10里,97.6,74.0,23.8,彰化縣鹿港鎮核心商圈,24.0802,120.5951
南投縣,仁愛鄉,第10里,107.6,77.9,23.4,南投縣仁愛鄉核心商圈,23.8717,120.6637
雲林縣,大埤鄉,第10里,85.3,60.2,25.1,雲林縣大埤鄉核心商圈,23.7023,120.4259
嘉義市,東區,第10里,117.3,87.7,25.0,嘉義市東區核心商圈,23.4571,120.486
嘉義縣,六腳鄉,第10里,109.1,80.0,28.2,嘉義縣六腳鄉核心商圈,23.4794,120.338
台南市,歸仁區,第10里,176.5,136.5,30.0,台南市歸仁區核心商圈,22.9176,120.2745
高雄市,甲仙區,第10里,136.0,105.3,30.4,高雄市甲仙區核心商圈,22.5996,120.3004
屏東縣,滿州鄉,第10里,90.2,63.8,23.9,屏東縣滿州鄉核心商圈,22.6269,120.5089
宜蘭縣,大同鄉,第10里,109.6,78.5,22.7,宜蘭縣大同鄉核心商圈,24.72,121.6741
花蓮縣,光復鄉,第10里,102.8,78.2,23.5,花蓮縣光復鄉核心商圈,23.9958,121.5476
台東縣,池上鄉,第10里,83.5,61.0,22.3,台東縣池上鄉核心商圈,22.7874,121.0885
澎湖縣,望安鄉,第10里,107.0,79.2,25.2,澎湖縣望安鄉核心商圈,23.6461,119.584
金門縣,金城鎮,第10里,111.1,79.3,24.9,金門縣金城鎮核心商圈,24.5063,118.3988
連江縣,南竿鄉,第10里,114.8,84.2,24.7,連江縣南竿鄉核心商圈,26.1737,119.8736
台北市,松山區,第11里,299.4,253.7,29.2,台北市松山區核心商圈,24.952,121.6252
新北市,新店區,第11里,106.1,81.2,29.2,新北市新店區核心商圈,25.0017,121.4606
基隆市,中山區,第11里,93.2,69.9,25.1,基隆市中山區核心商圈,25.152,121.7896
桃園市,八德區,第11里,187.4,139.7,33.7,桃園市八德區核心商圈,24.994,121.3517
新竹市,東區,第11里,177.6,142.9,30.2,新竹市東區核心商圈,24.8489,121.0698
新竹縣,竹東鎮,第11里,182.5,146.0,26.5,新竹縣竹東鎮核心商圈,24.8577,120.9819
苗栗縣,大湖鄉,第11里,93.8,66.1,26.2,苗栗縣大湖鄉核心商圈,24.4976,120.7825
台中市,大雅區,第11里,105.8,85.3,29.2,台中市大雅區核心商圈,24.1624,120.5866
彰化縣,溪州鄉,第11里,91.0,68.0,23.1,彰化縣溪州鄉核心商圈,24.1418,120.5237
南投縣,水里鄉,第11里,110.9,77.6,24.2,南投縣水里鄉核心商圈,23.8762,120.6933
雲林縣,口湖鄉,第11里,111.1,80.7,23.9,雲林縣口湖鄉核心商圈,23.6229,120.4067
嘉義市,東區,第11里,117.6,82.7,27.0,嘉義市東區核心商圈,23.477,120.4422
嘉義縣,竹崎鄉,第11里,84.9,64.0,27.5,嘉義縣竹崎鄉核心商圈,23.5057,120.2295
台南市,下營區,第11里,120.0,89.1,26.2,台南市下營區核心商圈,22.9511,120.2285
高雄市,鳥松區,第11里,140.2,105.5,27.4,高雄市鳥松區核心商圈,22.6607,120.2706
屏東縣,春日鄉,第11里,89.4,65.8,26.6,屏東縣春日鄉核心商圈,22.7133,120.5132
宜蘭縣,羅東鎮,第11里,106.7,79.7,24.2,宜蘭縣羅東鎮核心商圈,24.7201,121.6804
花蓮縣,壽豐鄉,第11里,109.1,83.7,23.3,花蓮縣壽豐鄉核心商圈,23.9575,121.6119
台東縣,延平鄉,第11里,91.9,67.0,23.2,台東縣延平鄉核心商圈,22.7682,121.0968
澎湖縣,馬公市,第11里,96.3,69.9,23.8,澎湖縣馬公市核心商圈,23.5951,119.5066
金門縣,烈嶼鄉,第11里,92.3,70.4,23.6,金門縣烈嶼鄉核心商圈,24.4236,118.3233
連江縣,北竿鄉,第11里,90.9,64.1,23.3,連江縣北竿鄉核心商圈,26.1473,119.985
台北市,南港區,第12里,266.0,220.3,33.2,台北市南港區核心商圈,25.0297,121.5129
新北市,平溪區,第12里,141.2,106.5,28.6,新北市平溪區核心商圈,25.0704,121.3951
基隆市,中山區,第12里,110.1,81.4,22.3,基隆市中山區核心商圈,25.0894,121.813
桃園市,大溪區,第12里,119.1,86.7,29.4,桃園市大溪區核心商圈,24.9687,121.357
新竹市,香山區,第12里,135.1,108.1,33.8,新竹市香山區核心商圈,24.7389,120.9995
新竹縣,新豐鄉,第12里,142.5,114.4,30.3,新竹縣新豐鄉核心商圈,24.7915,121.0585
苗栗縣,獅潭鄉,第12里,113.7,86.8,22.6,苗栗縣獅潭鄉核心商圈,24.5325,120.7752
台中市,中區,第12里,185.5,149.1,29.5,台中市中區核心商圈,24.1089,120.6113
彰化縣,社頭鄉,第12里,95.6,71.5,26.5,彰化縣社頭鄉核心商圈,24.0375,120.543
南投縣,草屯鎮,第12里,106.3,78.2,22.5,南投縣草屯鎮核心商圈,23.9606,120.7519
雲林縣,崙背鄉,第12里,102.7,79.3,25.7,雲林縣崙背鄉核心商圈,23.745,120.3776
嘉義市,東區,第12里,96.2,74.2,28.9,嘉義市東區核心商圈,23.483,120.4271
嘉義縣,阿里山鄉,第12里,89.4,67.2,27.2,嘉義縣阿里山鄉核心商圈,23.4019,120.2738
台南市,山上區,第12里,144.5,114.5,28.9,台南市山上區核心商圈,23.0262,120.2234
高雄市,內門區,第12里,122.4,96.3,29.1,高雄市內門區核心商圈,22.6395,120.3225
屏東縣,牡丹鄉,第12里,84.9,61.7,24.5,屏東縣牡丹鄉核心商圈,22.6676,120.4589
宜蘭縣,頭城鎮,第12里,102.6,78.3,24.6,宜蘭縣頭城鎮核心商圈,24.8139,121.8237
花蓮縣,瑞穗鄉,第12里,99.6,70.7,24.1,花蓮縣瑞穗鄉核心商圈,23.9585,121.6242
台東縣,蘭嶼鄉,第12里,98.2,75.6,27.7,台東縣蘭嶼鄉核心商圈,22.6946,121.118
澎湖縣,白沙鄉,第12里,108.9,77.1,27.0,澎湖縣白沙鄉核心商圈,23.5175,119.587
金門縣,烏坵鄉,第12里,100.6,74.2,25.8,金門縣烏坵鄉核心商圈,24.4431,118.4014
